,0
0,-5.260211484803777
1,-3.7590761415834915
2,-5.56145348130373
3,-5.563886934057628
4,-4.136567973052964
5,-5.561047905844747
6,-4.131887231077323
7,-5.1177715151041445
8,-5.113480273950393
9,-5.117958090806481
10,-5.253882199490624
11,-5.2596576302074185
12,-3.7600626430469326
13,-5.563609174120453
14,-5.565757134983689
15,-4.13571832246079
16,-5.560289598240907
17,-4.130047975666065
18,-5.1186423326040345
19,-4.5077961838415535
20,-5.1193609654821515
21,-5.256887348088906
22,-5.261422776264001
23,-4.13893050666534
24,-5.561340265667575
25,-5.565531628916894
26,-4.134620823541097
27,-5.557148902418256
28,-4.130459750179758
29,-5.116734472070847
30,-4.127740691842643
31,-5.116734472070847
32,-5.253683168994095
33,-5.412654434722313
34,-4.13980549550656
35,-5.560474019123103
36,-5.565822224706817
37,-3.568014172842498
38,-4.501606780313908
39,-3.5576982234543983
40,-5.117973604786898
41,-5.1125439341522405
42,-5.118821990823563
43,-5.40834828209085
44,-5.413347972862871
45,-4.138195047204463
46,-5.559950899974931
47,-5.565134445707839
48,-3.5481300304010643
49,-4.480985644182218
50,-3.5363371126699623
51,-5.119491609042926
52,-4.5083824177126965
53,-5.119491609042926
54,-5.407335081424312
55,-5.410758036901321
56,-3.8708713080752926
57,-5.561879473116134
58,-5.5643031260203895
59,-3.88125379814476
60,-4.484686720880854
61,-3.82515154267799
62,-5.117602220821395
63,-4.514135636239407
64,-5.11611562613125
65,-5.405649099184896
66,-5.41072199164546
67,-4.138967294054871
68,-5.55960839221792
69,-5.562861884565511
70,-4.133668107776497
71,-5.5594050489461955
72,-4.123122913067236
73,-5.118134443929518
74,-5.113831446809572
75,-5.118882791254726
76,-5.407952335050101
77,-5.412146222939746
78,-4.139027605883941
79,-5.560026410237644
80,-5.563094116798691
81,-3.7565703573704154
82,-5.56060160521784
83,-3.74722694622869
84,-5.117113285536616
85,-5.113938022190654
86,-5.117113285536616
87,-5.407482830936799
88,-5.413115353029339
89,-4.140934043730814
90,-5.563519730557256
91,-5.563898510495339
92,-3.758118277263218
93,-5.5629515606501325
94,-3.7509399355097988
95,-5.119959441153432
96,-5.115777464276064
97,-5.118391199824419
98,-5.408324659340908
99,-5.411440120867665
100,-4.139421127671318
101,-5.503057172500837
102,-5.518134041466593
103,-3.757809111239552
104,-5.562176614485151
105,-3.7517783904832833
106,-5.117139606460078
