,0
0,-37.50617146660668
1,-29.761682454105262
2,-39.07863365494008
3,-40.500692461053134
4,-29.19128420084497
5,-38.55911354573634
6,-28.83210373451073
7,-36.29040335018609
8,-28.83176611867322
9,-36.29181061455432
10,-36.25394651056405
11,-38.5837470070083
12,-29.757866433534517
13,-38.780528878302064
14,-40.78569858581012
15,-25.33567343406434
16,-31.723146218375597
17,-24.748464790914845
18,-36.48448532806832
19,-35.69577287990836
20,-36.79653523841656
21,-37.766804121461945
22,-38.90416196802276
23,-29.51209194786
24,-38.71193297635509
25,-40.19008749436877
26,-24.231220987386614
27,-30.473692234253985
28,-23.975960102836133
29,-37.07024683639383
30,-31.696551131901984
31,-37.071268614561696
32,-37.57531036892664
33,-38.20507170159664
34,-27.457321453032115
35,-39.167115035369676
36,-39.850057727624986
37,-27.174449221123087
38,-30.652553349777882
39,-26.490993148598257
40,-36.45072663933567
41,-31.54452214704689
42,-36.1795273530972
43,-37.37712620587023
44,-38.18654705692449
45,-29.75035953093091
46,-38.75841921025554
47,-39.406623795202414
48,-29.115339689534473
49,-38.88035433533639
50,-28.838109091295152
51,-36.556025105538524
52,-35.82564714973161
53,-36.775624194717544
54,-37.558660476758554
55,-38.46243869833313
56,-29.757928096244143
57,-38.85351595321935
58,-39.37774350951362
59,-26.574073617592518
60,-39.061324641686895
61,-26.027989618317413
62,-36.325767227125326
63,-35.67305634839303
64,-36.35145184045822
65,-37.63569335611325
66,-38.74237077867359
67,-30.196637991012548
68,-39.54851791904679
69,-39.65412696143646
70,-26.79559370184075
71,-39.458823113027584
72,-26.260132788676252
73,-37.214227307882446
74,-36.07563500104051
75,-36.589319730971184
76,-37.75412124737129
77,-38.27672800516915
78,-29.865567277167415
79,-39.127909456519724
80,-39.2876954907792
81,-26.77525000194379
82,-39.2885166270789
83,-26.299837377056
84,-36.351020122669
85,-35.81892340695981
86,-36.6739932081569
87,-37.547135619288326
88,-38.56015106138619
89,-29.75971507013331
90,-38.151264238148386
91,-38.72820586195393
92,-29.26864610150463
93,-38.78125789010748
94,-28.852766595861837
95,-36.48656244361337
96,-31.929800556242277
97,-36.809201182866204
98,-38.129124122633655
99,-38.18407568135442
100,-26.99812706647939
101,-37.96869333228578
102,-35.66695072900584
103,-26.71022671204969
104,-35.61291216907405
105,-26.44372916758857
106,-33.57824992526024
107,-29.13199550705079
108,-33.43015326879696
109,-34.80821499712238
110,-35.89433907361684
111,-24.72442523897194
112,-35.513822170463605
113,-35.71067604893366
114,-26.70608465706733
115,-27.92873612794682
116,-26.692957850365335
117,-33.60434514601219
118,-33.03901185586934
119,-33.569883467460244
120,-34.49765261427483
121,-35.536331646016265
122,-27.359680304927483
123,-34.92232663960328
124,-36.152128391913415
125,-22.900235458425918
126,-27.841276082573952
127,-22.91486600960539
128,-33.35149630189456
129,-32.90958341917071
130,-33.95829266269383
131,-34.91313388913854
132,-35.87747216454172
133,-27.54807254389596
134,-35.21183427452145
135,-35.74193316851923
136,-24.107231625228238
137,-35.687743309414536
138,-24.121359462629364
139,-33.86042517222021
140,-33.24100837004432
141,-34.28726327837881
142,-34.664942504924035
143,-35.427340482007374
144,-25.020820915445228
145,-34.96189438975455
146,-35.53723493082304
147,-26.649620486959428
148,-35.786489764675984
149,-26.501997799902583
150,-34.096763676849314
151,-33.37795224105836
152,-33.8260943957515
153,-34.6550896330162
154,-35.26837592154986
155,-25.375547602776443
156,-34.085840276666545
157,-35.87567558466942
158,-27.127522922075638
159,-36.07366109424108
160,-26.67234042358386
161,-33.509082425208526
162,-32.94038697703127
163,-33.4552489688231
164,-34.49760667440829
165,-34.71838210110611
166,-27.946606131606707
167,-34.69205290944275
168,-34.85491254991464
169,-26.207450562528557
170,-35.96707921332798
171,-25.4486286406705
172,-33.988542822279655
173,-29.25442631732713
174,-34.08638302360055
175,-34.148552863760045
176,-34.49733465558518
177,-27.61474293157736
178,-34.583064247165474
179,-34.94561895154084
180,-25.739866591027596
181,-35.71957333591709
182,-25.682852671947256
183,-33.659918884158316
184,-29.0628566032264
185,-33.65234014083311
186,-33.52733780559514
187,-34.12836971223299
188,-27.695382768586498
189,-34.2924717393639
190,-34.72227808114853
191,-26.838194774602755
192,-35.60673178217411
193,-26.716166629291138
194,-33.64285186000593
195,-33.11855613704502
196,-34.023218858689134
197,-33.75995570248686
198,-34.311024700522715
199,-26.477787487513957
200,-34.17574189354159
201,-34.8844986141519
202,-26.92202379157243
203,-28.409539743065956
204,-23.313360553642497
205,-30.30562401182347
206,-29.347198298024942
207,-29.65152234851046
208,-29.792068537269337
209,-31.04383179734502
210,-23.272159357696435
211,-30.52514661894473
212,-31.275498201933832
213,-22.688452038567192
214,-26.309607891484603
215,-22.313423395705023
216,-29.842987744454128
217,-26.116575055944402
218,-29.875134133026535
219,-29.48004884077057
220,-30.557566840970132
221,-24.285189412265527
222,-29.774047906154333
223,-30.711093444896896
224,-22.84970609993889
225,-31.81138250265805
226,-22.824790110333225
227,-30.07653233282378
228,-25.658172130574588
229,-29.398838407286224
230,-29.7061652190788
231,-30.443148734688695
232,-24.37328221301934
233,-29.667346819756574
234,-30.535306067355606
235,-23.842877387986654
236,-31.247210313424787
237,-23.364640599402712
238,-24.051169899380458
239,-29.202537937288874
240,-30.359194099321385
241,-29.418848154990982
242,-30.61244417077493
243,-23.716341632595267
244,-30.32378299393846
245,-31.173593499141575
246,-23.949270250974788
247,-31.788924763501075
248,-23.695823591407432
249,-24.381526742482375
250,-29.156639020376215
251,-30.01402219711138
252,-29.810031868178136
253,-29.846834172122936
254,-22.86349411599961
255,-29.65498504675534
256,-31.216115069969355
257,-21.86636038678125
258,-24.215449369542178
259,-21.486070618826894
260,-29.916647561791898
261,-28.737806827985857
262,-29.339786114832027
263,-29.52893211751324
264,-29.82063353329766
265,-24.047733186976473
266,-29.84553943449218
267,-31.00468405654921
268,-22.848643635402052
269,-24.957697020287434
270,-22.105443224777495
271,-29.691913350012285
272,-24.966421742778003
273,-29.724572326772524
274,-29.795792909754816
275,-30.412960961920568
276,-23.76985794716346
277,-30.310614058032783
278,-31.06801247500946
279,-23.73681276008315
280,-31.47634110799559
281,-23.6085371997649
282,-29.98600030429651
283,-23.687314272152484
284,-30.6570989052814
285,-30.40394193926387
286,-30.447267918214816
287,-23.546861416214362
288,-29.865541922863397
289,-31.600783018429613
290,-23.654542646754802
291,-25.313123545399804
292,-23.12159796166086
293,-29.960264448717723
294,-29.51703618280949
295,-30.95767378261299
296,-29.70407531521795
297,-30.32044264665739
298,-23.855638000100154
299,-29.869219738198197
300,-31.03586268603758
301,-21.69439283149502
302,-24.52108743703779
303,-21.10021890478164
304,-29.200345908982776
305,-24.89420753229033
306,-35.172528697874526
307,-34.74060841873955
308,-36.02030218249688
309,-28.068586751447683
310,-35.47593566879503
311,-36.18251261918233
312,-25.993210044823797
313,-36.81875690581534
314,-25.307369921367453
315,-34.618954369251945
316,-29.826158505009744
317,-35.75669758366629
318,-35.39167376938299
319,-35.751153507210915
320,-28.559532217732155
321,-36.477239509996636
322,-36.79507863081582
323,-30.78281832166046
324,-36.90988698608153
325,-29.970655529046343
326,-35.167889019242544
327,-34.13434455699485
328,-36.38232112515591
329,-36.39863066323052
330,-38.52092555832483
331,-28.538728879151986
332,-37.882361417163295
333,-38.59251068878547
334,-30.394156972169114
335,-39.32780906431299
336,-29.96952095014324
337,-37.53716575402397
338,-36.88031880399183
339,-38.62615933217772
340,-37.94049608455907
341,-38.49126477806374
342,-31.427188705449936
343,-38.56785937518443
344,-39.06614550780748
345,-27.72250125767836
346,-31.306804952557542
347,-27.4140523504757
348,-38.13425541187087
349,-37.098410919012366
350,-37.605835864997644
351,-37.85876620387124
352,-38.4004521331552
353,-28.221516428810205
354,-38.46810485631971
355,-38.90450367610869
356,-27.455220957807978
357,-31.423458856332953
358,-27.063624705558226
359,-37.70922114480789
360,-29.823988786105403
361,-38.311623110423085
362,-37.732935030742766
363,-37.97887367037759
364,-28.467688211740796
365,-38.32219782090482
366,-38.5017042962208
367,-30.19316477533542
368,-39.283697966813016
369,-29.836715036940358
370,-37.81471464771501
371,-37.25673068772633
372,-37.848753371096144
373,-37.617345251109604
374,-37.32420204273866
375,-31.188887745435217
376,-38.06763738087167
377,-38.22153676691619
378,-30.595351058765136
