"","store","upc","week","move","price","profit","descrip","custcoun","Brand","wp","mks","csame","cdiff","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11"
"1",98,1820000016,91,26,0.0484722222222222,19.05,"BUDWEISER BEER",27452,18200,0.0392382638888889,0.000947107678857642,1,9,0,0,0,0,0,0,0,0,0,0
"2",98,1820011168,91,64,0.0346875,13.11,"BUDWEISER BEER",27452,18200,0.03013996875,0.0023313419787265,1,9,1,0,0,0,0,0,0,0,0,0
"3",98,3410000354,91,27,0.05125,22.98,"MILLER LITE BEER",27452,34100,0.03947275,0.000983534897275244,6,4,0,1,0,0,0,0,0,0,0,0
"4",98,3410000554,91,15,0.05125,22.98,"MILLER GENUINE DRAFT",27452,34100,0.03947275,0.000546408276264025,6,4,0,0,1,0,0,0,0,0,0,0
"5",98,3410017306,91,56,0.0381597222222222,0.64,"MILLER GENUINE DRAFT",27452,34100,0.0379155,0.00203992423138569,6,4,0,0,0,1,0,0,0,0,0,0
"6",98,3410017505,91,29,0.05125,20.95,"MILLER GEN DRFT LNNR",27452,34100,0.040513125,0.00105638933411045,6,4,0,0,0,0,1,0,0,0,0,0
"7",98,3410057306,91,87,0.0381597222222222,0.64,"MILLER LITE BEER",27452,34100,0.0379155,0.00316916800233134,6,4,0,0,0,0,0,1,0,0,0,0
"8",98,3410057528,91,22,0.0471527777777778,16.27,"MILLER LITE BEER N.R",27452,34100,0.0394810208333333,0.000801398805187236,6,4,0,0,0,0,0,0,1,0,0,0
"9",98,3410057602,91,45,0.0471527777777778,16.27,"MILLER LITE BEER",27452,34100,0.0394810208333333,0.00163922482879207,6,4,0,0,0,0,0,0,0,1,0,0
"10",98,7336011341,91,21,0.0471527777777778,17.45,"OLD STYLE BEER",27452,73360,0.0389246180555556,0.000764971586769634,1,9,0,0,0,0,0,0,0,0,1,0
"11",98,7336011751,91,59,0.0484722222222222,19.71,"OLD STYLE BEER",27452,73360,0.0389183472222222,0.0021492058866385,1,9,0,0,0,0,0,0,0,0,0,1
"12",98,1820000016,92,30,0.0484722222222222,19.05,"BUDWEISER BEER",28509,18200,0.0392382638888889,0.0010522992739135,1,9,0,0,0,0,0,0,0,0,0,0
"13",98,1820011168,92,59,0.0346875,13.11,"BUDWEISER BEER",28509,18200,0.03013996875,0.00206952190536322,1,9,1,0,0,0,0,0,0,0,0,0
"14",98,3410000354,92,17,0.05125,22.98,"MILLER LITE BEER",28509,34100,0.03947275,0.000596302921884317,6,4,0,1,0,0,0,0,0,0,0,0
"15",98,3410000554,92,6,0.05125,22.98,"MILLER GENUINE DRAFT",28509,34100,0.03947275,0.0002104598547827,6,4,0,0,1,0,0,0,0,0,0,0
"16",98,3410017306,92,64,0.0381597222222222,0.64,"MILLER GENUINE DRAFT",28509,34100,0.0379155,0.00224490511768214,6,4,0,0,0,1,0,0,0,0,0,0
